ID,Title,Sku,Parent Product ID,Product Type,Brand,_seopress_analysis_target_kw,_seopress_titles_title,_wp_page_template,_rh_woo_product_layout
2972,Site Origin,2972,0,external, Stranger Studios,Site Origin Review,"Site Origin Plugin Features, reviews and Pricing | Appsfomo",default,global
2976,Paid Membership Pro,2976,0,external,AccessKeys,Paid Membership Pro Review,"Paid Membership Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
2980,AccessPress Anonymous Post Pro,2980,0,external,SEMursh,AccessPress Anonymous Post Pro Review,"AccessPress Anonymous Post Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
2982,SEMrush,2982,0,external, WP Sharks,SEMrush Review,"SEMrush Plugin Features, reviews and Pricing | Appsfomo",default,global
2984,S2 Member Pro,2984,0,external,WP Sharks,S2 Member Pro Review,"S2 Member Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
2986,Slider Revolution,2986,0,external,ThemePunch,Slider Revolution Review,"Slider Revolution Plugin Features, reviews and Pricing | Appsfomo",default,global
2988,LayerSlider,2988,0,external,Web-Settler,LayerSlider Review,"LayerSlider Plugin Features, reviews and Pricing | Appsfomo",default,global
2990,Soliloquy,2990,0,external, Soliloquy Team,Soliloquy Review,"Soliloquy Plugin Features, reviews and Pricing | Appsfomo",default,global
2992,Meta Slider,2992,0,external,Meta Slider,Meta Slider Review,"Meta Slider Plugin Features, reviews and Pricing | Appsfomo",default,global
2993,Ithemes Security Pro,2993,0,external,iThemes,Ithemes Security Pro Review,"Ithemes Security Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
2995,Wonder Slider,2995,0,external,Magic Hills Pty Ltd,Wonder Slider Review,"Wonder Slider Plugin Features, reviews and Pricing | Appsfomo",default,global
2997,Superfly,2997,0,external,Looks Awesome,Superfly Review,"Superfly Plugin Features, reviews and Pricing | Appsfomo",default,global
2999,Easy Social Share Button,2999,0,external,Appscreo,Easy Social Share Button Review,"Easy Social Share Button Plugin Features, reviews and Pricing | Appsfomo",default,global
3001,Wordfence,3001,0,external,Wordfence,Wordfence Review,"Wordfence Plugin Features, reviews and Pricing | Appsfomo",default,global
3003,Monarch,3003,0,external,Elegant Themes,Monarch Review,"Monarch Plugin Features, reviews and Pricing | Appsfomo",default,global
3005,Shield WordPress Security,3005,0,external,WP Plugins,Shield WordPress Security Review,"Shield WordPress Security Plugin Features, reviews and Pricing | Appsfomo",default,global
3007,Bookly,3007,0,external,Ladela,Bookly Review,"Bookly Plugin Features, reviews and Pricing | Appsfomo",default,global
3009,Flow Flow,3009,0,external,Looks Awesome,Flow Flow Review,"Flow Flow Plugin Features, reviews and Pricing | Appsfomo",default,global
3011,Booki,3011,0,external,Typps,Booki Review,"Booki Plugin Features, reviews and Pricing | Appsfomo",default,global
3013,Social Media Feather,3013,0,external,Social Media Feather,Social Media Feather Review,"Social Media Feather Plugin Features, reviews and Pricing | Appsfomo",default,global
3015,Layered Popups,3015,0,external,Layered Popups,Layered Popups Review,"Layered Popups Plugin Features, reviews and Pricing | Appsfomo",default,global
3017,Social share buttons - social pug,3017,0,external,Mediavine,Social share buttons - social pug Review,"Social share buttons - social pug Plugin Features, reviews and Pricing | Appsfomo",default,global
3019,Realtyna,3019,0,external,Realtyna,Realtyna Review,"Realtyna Plugin Features, reviews and Pricing | Appsfomo",default,global
3023,Booked,3023,0,external,BoxyStudio,Booked Review,"Booked Plugin Features, reviews and Pricing | Appsfomo",default,global
3027,Awesome Live Chat,3027,0,external,KamalKhan,Awesome Live Chat Review,"Awesome Live Chat Plugin Features, reviews and Pricing | Appsfomo",default,global
3029,WP Simple Booking calendar,3029,0,external,Veribo,WP Simple Booking calendar Review,"WP Simple Booking calendar Plugin Features, reviews and Pricing | Appsfomo",default,global
3031,Chat X,3031,0,external,Screets,Chat X Review,"Chat X Plugin Features, reviews and Pricing | Appsfomo",default,global
3035,EventOn,3035,0,external,EeventOn,EventOn Review,"EventOn Plugin Features, reviews and Pricing | Appsfomo",default,global
3037,Real Estate Pro,3037,0,external,E-plugins,Real Estate Pro Review,"Real Estate Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
3039,Ninja Popups,3039,0,external,ARScodes,Ninja Popups Review,"Ninja Popups Plugin Features, reviews and Pricing | Appsfomo",default,global
3043,Estatik,3043,0,external,Estatik,Estatik Review,"Estatik Plugin Features, reviews and Pricing | Appsfomo",default,global
3045,Easy Property Listing,3045,0,external,Real Estate Connected,Easy Property Listing Review,"Easy Property Listing Plugin Features, reviews and Pricing | Appsfomo",default,global
3047,WordPress Live Chat Plugin,3047,0,external,Screets,WordPress Live Chat Plugin Review,"WordPress Live Chat Plugin Plugin Features, reviews and Pricing | Appsfomo",default,global
3049,WP Flat Visual Chat,3049,0,external,Loopus,WP Flat Visual Chat Review,"WP Flat Visual Chat Plugin Features, reviews and Pricing | Appsfomo",default,global
3051,Templatera,3051,0,external,WPbakery,Templatera Review,"Templatera Plugin Features, reviews and Pricing | Appsfomo",default,global
3053,Interactive World Maps,3053,0,external,Interactive World Maps,Interactive World Maps Review,"Interactive World Maps Plugin Features, reviews and Pricing | Appsfomo",default,global
3055,WooCommerce Single Product Page Builder,3055,0,external,SiteSao,WooCommerce Single Product Page Builder Review,"WooCommerce Single Product Page Builder Plugin Features, reviews and Pricing | Appsfomo",default,global
