Title,ID,Post Type,Product Type,Parent Product ID,Regular Price,Sale Price,Product categories,Brand
Real Places,3343,product,external,0,49,,Wordpress Themes>Business Themes,
ApartmentWP,3345,product,external,0,59,,Wordpress Themes>Business Themes,
Full House,3347,product,external,0,75,,Wordpress Themes>Business Themes,
Residence,3349,product,external,0,59,,Wordpress Themes>Business Themes,
WP Rentals,3351,product,external,0,59,,Wordpress Themes>Creative,Wp Estate
Real Homes,3353,product,external,0,59,,Wordpress Themes>Business Themes,
ROSA,3355,product,external,0,75,,"Wordpress Themes>Food, Lifestyle &amp; Health",
Pronto,3357,product,external,0,64,,"Wordpress Themes>Food, Lifestyle &amp; Health",
Business Finder,3359,product,external,0,69,,Wordpress Themes>e-commerce,
Sweet Date,3361,product,external,0,69,,"Wordpress Themes>Food, Lifestyle &amp; Health",
Mingle,3363,product,external,0,79,,"Wordpress Themes>Food, Lifestyle &amp; Health",
Woffice,3365,product,external,0,79,,Wordpress Themes>Corporate,
Buddy,3367,product,external,0,199,,Wordpress Themes>Multipurpose,
Socialize,3369,product,external,0,199,,Wordpress Themes>Multipurpose,
WPLMS,3371,product,external,0,75,,Wordpress Themes>Education &amp; Non profit,
EducationPress,3373,product,external,0,59,,Wordpress Themes>Education &amp; Non profit,
Academy,3375,product,external,0,29,,Wordpress Themes>Education &amp; Non profit,
University,3377,product,external,0,49,,Wordpress Themes>Education &amp; Non profit,
LMS,3379,product,external,0,59,,Wordpress Themes>Education &amp; Non profit,
Porto,3381,product,external,0,59,,Wordpress Themes>e-commerce,
Blaszok,3383,product,external,0,47,,Wordpress Themes>e-commerce,
Atelier,3387,product,external,0,53,,Wordpress Themes>e-commerce,
Oxygen,3389,product,external,0,59,,Wordpress Themes>e-commerce,
Flatsome,3391,product,external,0,59,,Wordpress Themes>e-commerce,
Shopkeeper,3393,product,external,0,59,,Wordpress Themes>e-commerce,
The Retailer,3395,product,external,0,59,,Wordpress Themes>e-commerce,
Job Career,3397,product,external,0,69,,Wordpress Themes>Corporate,
Fable,3399,product,external,0,59,,Wordpress Themes>Education &amp; Non profit,
Karma,3403,product,external,0,49,,Wordpress Themes>Corporate,
uDesign,3405,product,external,0,56,,Wordpress Themes>Corporate,
Home Villas,3407,product,external,0,59,,Wordpress Themes>Business Themes,
Sahifa,3409,product,external,0,59,,Wordpress Themes>Blog / Magazine|Uncategorized Reviews,
Gonzo,3411,product,external,0,49,,Wordpress Themes>Blog / Magazine,
Modesto,3413,product,external,0,39,,Wordpress Themes>Creative,
Joker,3415,product,external,0,59,,Wordpress Themes>Creative,
Preschool,3417,product,external,0,59,,Wordpress Themes>Education &amp; Non profit,Jwsthemes
EduCare,3419,product,external,0,39,,Wordpress Themes>Education &amp; Non profit,
Universh,3421,product,external,0,59,,Wordpress Themes>Education &amp; Non profit,
Falcons,3428,product,external,0,59,,Wordpress Themes>Corporate,
Thrive,3430,product,external,0,67,,Wordpress Themes>Multipurpose,Dunhakdis
NRGNetwork,3433,product,external,0,59,,Wordpress Themes>Corporate,
Geeklove,3435,product,external,0,44,,"Wordpress Themes>Food, Lifestyle &amp; Health",
Aimer,3439,product,external,0,48,,"Wordpress Themes>Food, Lifestyle &amp; Health",3jon
Crown,3441,product,external,0,60,,Wordpress Themes>Creative,
MediCenter,3443,product,external,0,59,,"Wordpress Themes>Food, Lifestyle &amp; Health",
MaxHost,3445,product,external,0,38,,Wordpress Themes>Creative,
MedicalPress,3447,product,external,0,49,,"Wordpress Themes>Food, Lifestyle &amp; Health",
Spa Lab,3451,product,external,0,59,,"Wordpress Themes>Food, Lifestyle &amp; Health",
Tour Package,3453,product,external,0,54,,Wordpress Themes>Business Themes,
Traveler,3455,product,external,0,79,,Wordpress Themes>Business Themes,
Travelo,3457,product,external,0,35,,Wordpress Themes>Entertainment,
Trendy Travel,3459,product,external,0,59,,Wordpress Themes>Business Themes,
Nation Hotel,3461,product,external,0,49,,"Wordpress Themes>Food, Lifestyle &amp; Health",
Bellevue,3465,product,external,0,59,,Wordpress Themes>Corporate,
Avada,3580,product,external,0,60,,Wordpress Themes>Creative,ThemeFusion
Yoast SEO,3583,product,external,0,89,,Wordpress Plugins>SEO Plugin,Yoast BV
Cloudflare,6206,product,external,0,20,,SaaS>CDN,
cPanel,6255,product,external,0,20,,Web Panels,
BunnyCDN,6408,product,external,0,10,,SaaS>CDN,
SiteGround,6419,product,external,0,14.99,6.99,Hosting,
Bluehost,6427,product,external,0,2.97,,Hosting,
Plesk,6488,product,external,0,9.17,8.25,Web Panels,
Plutio,6537,product,external,0,15,,SaaS>Project Management,
CiuisCRM,6622,product,external,0,45,,PHP Scripts,SuiseSoft
Mailchimp,6645,product,external,0,9.99,,SaaS>Marketing and Sales,Mailchimp
SendGrid,6938,product,external,0,14.95,,SaaS>Marketing and Sales,SendGrid
Hestia,8302,product,external,0,69,,Wordpress Themes>Multipurpose,Themeisle
OceanWP,8314,product,external,0,39,,Wordpress Themes>Multipurpose,OceanWp
ShopIsle,8336,product,external,0,52,,Wordpress Themes>e-commerce,Themeisle
BetterDocs,8340,product,external,0,39,,Wordpress Plugins>Documentation,WP developer
Generatepress,8345,product,external,0,59,44,Wordpress Themes>Blog / Magazine|Wordpress Themes>Corporate|Wordpress Themes>e-commerce|Wordpress Themes>Multipurpose,Generatepress
Neve,8371,product,external,0,82,,Wordpress Themes>Blog / Magazine|Wordpress Themes>Corporate|Wordpress Themes>e-commerce|Wordpress Themes>Multipurpose,Themeisle
Zelle (Zerif),8379,product,external,0,86,,Wordpress Themes>Blog / Magazine|Wordpress Themes>Corporate|Wordpress Themes>e-commerce|Wordpress Themes>Multipurpose,Themeisle
Flexia,8393,product,external,0,49,,Wordpress Themes>Creative|Wordpress Themes>e-commerce|Wordpress Themes>Multipurpose,Codetic
Kadence,8405,product,external,0,69,56,Wordpress Themes>Multipurpose,
