ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score,Permalink,Date
710,"Swift Performance",,product,external,0,39.99,,"Wordpress Plugins>Caching Plugin","Swte Plugins",12,https://appsfomo.com/reviews/swift-performance/,2018-01-22
716,"Divi Theme",,product,external,0,89,,"Wordpress Themes>Multipurpose","Elegant Themes",,https://appsfomo.com/reviews/divi-theme/,2018-01-22
1522,"WPastra Theme",,product,external,0,59,47,"Wordpress Themes>Multipurpose","Brainstorm Force",,https://appsfomo.com/reviews/wpastra-theme/,2019-12-24
2920,WPForms,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",WPForms,12,https://appsfomo.com/reviews/wpforms/,2020-07-10
2923,"Ninja Forms",,product,external,0,99,49,"Wordpress Plugins>Forms &amp; Popups","Saturday Drive",12,https://appsfomo.com/reviews/ninja-forms/,2020-07-29
2924,"Gravity forms",,product,external,0,59,,"Wordpress Plugins>Forms &amp; Popups",Rocketgenius,18,https://appsfomo.com/reviews/gravity-forms/,2020-07-30
2925,"Formidable Forms",,product,external,0,99.38,,"Wordpress Plugins>Forms &amp; Popups",Startegy11,12,https://appsfomo.com/reviews/formidable-forms/,2020-07-03
2926,"Frontend Publishing Pro",,product,external,0,30,,"Wordpress Plugins>Forms &amp; Popups",Khaxan,12,https://appsfomo.com/reviews/front-end-publishing-pro/,2020-07-26
2930,"Envira Gallery",,product,external,0,19,,"Wordpress Plugins>Carousel &amp; Gallery","Envira Gallery",15,https://appsfomo.com/reviews/envira-gallery/,2020-07-14
2932,Quform,,product,external,0,29,,"Uncategorized Reviews","Theme Catcher",81,https://appsfomo.com/reviews/quform/,2020-07-31
2934,"Super Forms",,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups","Feeling 4 Design",12,https://appsfomo.com/reviews/super-forms/,2020-08-01
2936,ARForms,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",Reputeinfosystems,12,https://appsfomo.com/reviews/arforms/,2020-07-31
2938,"NEX forms",,product,external,0,39,19,"Wordpress Plugins>Forms &amp; Popups",Basix,15,https://appsfomo.com/reviews/nex-forms/,2020-07-16
2940,Eform,,product,external,0,39,19,"Wordpress Plugins>Forms &amp; Popups",WPQuark,15,https://appsfomo.com/reviews/eform/,2020-07-24
2942,FormCraft,,product,external,0,36,,"Wordpress Plugins>Forms &amp; Popups",,79,https://appsfomo.com/reviews/formcraft/,2020-07-27
2944,WonderPlugin,,product,external,0,99,,"Wordpress Plugins>Carousel &amp; Gallery","Magic Hills Pty Ltd",11,https://appsfomo.com/reviews/wonderplugin/,2020-07-10
2946,"Foo Gallery",,product,external,0,,,"Wordpress Plugins>Carousel &amp; Gallery",,11,https://appsfomo.com/reviews/foo-gallery/,2020-07-15
2948,"NextGEN Gallery",,product,external,0,99,,"Wordpress Plugins>Carousel &amp; Gallery",,11,https://appsfomo.com/reviews/nextgen-gallery/,2020-07-05
2950,"Justified Image Grid",,product,external,0,27,,"Wordpress Plugins>Carousel &amp; Gallery",,68,https://appsfomo.com/reviews/justified-image-grid/,2020-07-13
2952,"Awesome Gallery",,product,external,0,26,,"Wordpress Plugins>Carousel &amp; Gallery",,12,https://appsfomo.com/reviews/awesome-gallery/,2020-07-24
2954,"Ultimate Membership Pro",,product,external,0,49,24,"Wordpress Plugins>Membership",,12,https://appsfomo.com/reviews/ultimate-membership-pro/,2020-07-29
2956,"All In One SEO",,product,external,0,79,57,"Wordpress Plugins>SEO Plugin",,11,https://appsfomo.com/reviews/all-in-one-seo/,2020-07-02
2958,"Restrict Content Pro",,product,external,0,69,,"Wordpress Plugins>Membership",,12,https://appsfomo.com/reviews/restrict-content-pro/,2020-07-02
2960,"SEO by Squirrly",,product,external,0,20,,"Wordpress Plugins>SEO Plugin",,64,https://appsfomo.com/reviews/seo-squirrly/,2020-07-06
2962,"User Pro",,product,external,0,39,,"Wordpress Plugins>Membership",,11,https://appsfomo.com/reviews/user-pro/,2020-07-30
2964,"Keyword Tool",,product,external,0,,,"Wordpress Plugins>SEO Plugin",,11,https://appsfomo.com/reviews/keyword-tool/,2020-07-23
2966,"Visual Composer",,product,external,0,49,34,"Wordpress Plugins>Page Builder",,11,https://appsfomo.com/reviews/visual-composer/,2020-07-13
2968,Cornerstone,,product,external,0,19,,"Wordpress Themes>Page Builder",,11,https://appsfomo.com/reviews/cornerstone/,2020-07-05
2972,"Site Origin",,product,external,0,29,,"Wordpress Plugins",,15,https://appsfomo.com/reviews/site-origin/,2020-07-28
2974,"Beaver Builder",,product,external,0,99,,"Wordpress Plugins>Page Builder",,12,https://appsfomo.com/reviews/beaver-builder/,2020-07-09
2976,"Paid Membership Pro",,product,external,0,97,,"Wordpress Plugins>Membership",,12,https://appsfomo.com/reviews/paid-membership-pro/,2020-08-01
2980,"AccessPress Anonymous Post Pro",,product,external,0,29,,"Wordpress Plugins>Affiliate",,13,https://appsfomo.com/reviews/accesspress-anonymous-post-pro/,2020-07-06
