ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score,Permalink,Date,"External Product URL","Button Text"
10061,Trello,,product,external,0,5,,"SaaS>Project Management",Trello,89,https://appsfomo.com/reviews/trello/,2021-02-12,https://trello.com/home,"Sign Up Today"
10062,VistaCreate,,product,external,0,10,,"SaaS>Design &amp; Collaboration",VistaCreate,89,https://appsfomo.com/reviews/crello/,2021-02-12,https://crello.com/,"Sign Up Today"
10082,"WP Security Ninja",,product,external,0,7.99,,"Wordpress Plugins>Security Plugin","WP Security Ninja",33,https://appsfomo.com/reviews/wp-security-ninja/,2021-02-27,https://wpsecurityninja.com/#pricing,"Buy Now"
10114,"All-in-One WP Migration",,product,external,0,69,,"Wordpress Plugins>Security Plugin",ServMask,70,https://appsfomo.com/reviews/all-in-one-wp-migration/,2021-02-18,https://import.wp-migration.com/,"Buy Now"
10260,TexAu,,product,external,0,29,,"SaaS>Business Tools",TexAu,86,https://appsfomo.com/reviews/texau/,2021-03-08,https://texau.com/,"Sign Up Today"
10281,Amelia,,product,external,0,59,,"Wordpress Plugins>Calendar",TMS,16,https://appsfomo.com/reviews/amelia-wordpress-appointment-booking-plugin/,2021-03-09,https://wpamelia.com/pricing/,"Buy Now"
10284,"Advanced Custom Fields",,product,external,0,49,,"Wordpress Plugins>Miscellaneous",ACF,28,https://appsfomo.com/reviews/advanced-custom-fields/,2021-03-19,https://www.advancedcustomfields.com/pro/,"Buy Now"
10402,RelayThat,,product,external,0,15,,"SaaS>Design &amp; Collaboration",RelayThat,87,https://appsfomo.com/reviews/relaythat/,2021-03-19,https://www.dealify.com/relaythat/?deal=stellar,"Sign Up Today"
10797,Shopify,,product,external,0,25,,eCommerce,Shopify,,https://appsfomo.com/reviews/shopify/,2021-03-26,https://www.relaythat.com/pricing,"Buy Now"
11133,Magento,,product,external,0,,,eCommerce,,,https://appsfomo.com/reviews/magento/,2021-03-29,https://magento.com/products/pricing,"Buy Now"
11198,WordPress,,product,external,0,0.00,,"Content Management Systems",,,https://appsfomo.com/reviews/wordpress/,2021-03-31,https://wordpress.org/,"Download Now"
11413,"User Back",,product,external,0,79,,"SaaS>Business Tools","User Back",81,https://appsfomo.com/reviews/user-back/,2021-04-01,https://www.userback.io/pricing,"Sign Up Today"
11527,"7 Zip",,product,external,0,,,"Apps &amp; Utilities",,,https://appsfomo.com/reviews/7-zip/,2021-04-02,https://www.7-zip.org/,"Install Now"
11620,Drupal,,product,external,0,0.00,,"Content Management Systems",,80,https://appsfomo.com/reviews/drupal/,2021-04-07,https://www.drupal.org/,"Download Now"
11694,"WP Reset",,product,external,0,4.99,,"Wordpress Plugins",,84,https://appsfomo.com/reviews/wp-reset/,2021-04-08,https://shortpixel.com/pricing,"Buy Now"
11772,WebARX,,product,external,0,14.99,,Security,WebARX,89,https://appsfomo.com/reviews/webarx/,2021-04-09,https://www.webarxsecurity.com/pricing/,"Buy Now"
13015,Grammarly,,product,external,0,12,,"SaaS>Content creation",Grammarly,87,https://appsfomo.com/reviews/grammarly/,2021-05-03,https://www.grammarly.com/premium,"Sign Up Today"
13338,TortoiseGit,,product,external,0,,,"Apps &amp; Utilities",,,https://appsfomo.com/reviews/tortoisegit/,2021-05-05,https://download.tortoisegit.org/tgit/,"Install Now"
13461,ArticleForge,,product,external,0,27,,"SaaS>Content creation",,79,https://appsfomo.com/reviews/articleforge/,2021-05-06,https://www.articleforge.com/?ref=021ce2,"Sign Up Today"
13549,Virusdie,,product,external,0,15,,Security,,,https://appsfomo.com/reviews/virusdie/,2021-05-10,https://virusdie.com/user/referal/?id=196793,"Buy Now"
13698,Loginpress,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",Appsumo,68,https://appsfomo.com/reviews/loginpress/,2021-05-13,https://loginpress.pro/pricing/,"Buy Now"
14060,Sucuri,,product,external,0,9.99,,Security,,18,https://appsfomo.com/reviews/sucuri/,2021-05-17,https://sucuri.net/website-security-platform/signup/,"Buy Now"
14737,"All In One WordPress Security and Firewall Plugin",,product,external,0,0,,"Uncategorized Reviews",,76,https://appsfomo.com/reviews/all-in-one-wordpress-security-and-firewall-plugin/,2021-05-22,https://www.tipsandtricks-hq.com/wordpress-security-and-firewall-plugin,"Buy Now"
15653,LiveWebinar,,product,external,0,17.99,,SaaS>Communication,LiveWebinar,87,https://appsfomo.com/reviews/livewebinar/,2021-06-04,https://app.livewebinar.com/pricing,"Sign Up Today"
15862,"Essential Addons for Elementor",,product,external,0,39.97,,"Wordpress Plugins>Page Builder","WP developer",,https://appsfomo.com/reviews/essential-addons-for-elementor/,2021-06-15,https://essential-addons.com/elementor/#pricing,"Buy Now"
16794,Cartflows,,product,external,0,299,239,"Wordpress Plugins>E-commerce",,20,https://appsfomo.com/reviews/cartflows/,2021-07-07,https://cartflows.com/,"Buy Now"
16916,"WP Engine",,product,external,0,25,,"Uncategorized Reviews",,,https://appsfomo.com/reviews/wp-engine/,2021-07-20,https://wpengine.com/,"Buy Now"
17751,Kinsta,,product,external,0,30,,Hosting,,,https://appsfomo.com/reviews/kinsta/,2021-09-03,https://kinsta.com/,"Buy Now"
