id,Title,"Affiliate Store",Expired,re_post_expired,rehub_offer_product_url
13112,Typebot,"SaaS Mantra",,0,https://saasmantra.com/deals/typebot
13113,Enerpize,AppSumo,yes,1,https://appsumo.com/enerpize/
13173,NativeForms,"SaaS Mantra",,0,https://saasmantra.com/deals/nativeforms
13223,"SEOnify SEO",DealFuel,,0,https://www.dealfuel.com/seller/seonify-seo-tools-visitor-analytics/?ap_id=interstellar
13280,"Zen Mind Map",AppSumo,yes,1,https://appsumo.com/marketplace-zen-mind-map/
13347,Treasure,AppSumo,yes,1,https://appsumo.com/treasure/
13564,Flowlu,AppSumo,,0,shop.appsfomo.com/p/kady/r
13711,Serpwizz,Pitchground,,0,https://pitchground.sjv.io/9WEXx0
14125,ContentBot,AppSumo,yes,1,https://appsumo.com/contentbot/
14154,AppMySite,AppSumo,,0,shop.appsfomo.com/p/yl73/r
14258,SendFox,AppSumo,,0,shop.appsfomo.com/p/9ica/r
14388,Blakify,AppSumo,,0,shop.appsfomo.com/p/Kqnd/r
14419,PageMaker,Pitchground,,0,https://pitchground.sjv.io/rnX7e5
14872,"Exod ai",Dealify,,0,https://www.dealify.com/exod/?deal=stellar
15655,"Filmstro Pro",AppSumo,yes,1,https://appsumo.com/products/filmstro/
15707,"Design Wizard",Stacksocial,,0,https://stacksocial.com/sales/design-wizard-pro-lifetime-subscription/?aid=a-j0gmt06o
15724,iBrave,Stacksocial,,0,https://stacksocial.com/sales/ibrave-cloud-web-hosting-lifetime-subscription/?aid=a-j0gmt06o
15749,Senseily,Dealify,,0,https://www.dealify.com/senseily/?deal=stellar
15765,Leadsolo,DealFuel,,0,https://www.dealfuel.com/seller/leadsolo-prospect-finder/?ap_id=interstellar
15779,Scalify,Pitchground,,0,https://pitchground.sjv.io/jWmvDv
15781,Akubooks,DealFuel,,0,https://www.dealfuel.com/seller/akubooks-invoice-generator/?ap_id=interstellar
15797,LeadPay,Dealify,,0,https://www.dealify.com/leadpay/?deal=stellar
15802,Dragit,"SaaS Mantra",,0,https://saasmantra.com/deals/dragit
15826,Crikle,AppSumo,yes,1,https://appsumo.com/products/crikle/
15857,"Feature Monkey",Dealify,,0,https://www.dealify.com/featuremonkey/?deal=stellar
15861,Dashfrugal,Pitchground,,0,https://pitchground.sjv.io/P0bPYX
15877,Samdock,AppSumo,,0,shop.appsfomo.com/p/kNbo/r
15885,"Liro Pro",Stacksocial,,0,https://stacksocial.com/sales/liro-pro-lifetime-subscription/?aid=a-j0gmt06o
15899,ProWritingAid,Stacksocial,,0,https://stacksocial.com/sales/the-award-winning-prowritingaid-lifetime-subscription-bundle/?aid=a-j0gmt06o
15902,"Auto Post Thumbnail",DealMirror,,0,https://dealmirror.com/product/auto-featured-image-lifetime-deal/?ref=interstellar.consulting
15922,CuriosityStream,Stacksocial,,0,https://stacksocial.com/sales/curiositystream-hd-plan-lifetime-subscription/?aid=a-j0gmt06o
15933,StoryXpress,Stacksocial,,0,https://stacksocial.com/sales/2-years-of-storyxpress-lite/?aid=a-j0gmt06o
15961,JivoChat,AppSumo,yes,1,https://appsumo.com/products/jivochat/
15997,Doopoll,Dealify,,0,https://www.dealify.com/doopoll/?deal=stellar
16005,Now4real,"SaaS Mantra",,0,https://saasmantra.com/deals/now4real
16034,Screpy,Dealify,,0,https://www.dealify.com/screpy/?deal=stellar
16042,FeedBear,DealFuel,,0,https://www.dealfuel.com/seller/feedbear-product-feedback/?ap_id=interstellar
16050,LaunchFlows,DigitalThink,,0,https://digitalthink.io/deal/launchflows/?ref=slogin
16058,Tomba,DigitalThink,,0,https://digitalthink.io/deal/tomba/?ref=slogin
16068,ADYOUNEED,AppSumo,yes,1,https://appsumo.com/products/adyouneed/
16076,Poirot,"SaaS Mantra",,0,https://saasmantra.com/deals/poirot
16110,MindMaster,Stacksocial,,0,https://stacksocial.com/sales/mindmaster/?aid=a-j0gmt06o
16115,Pinstriped,Stacksocial,,0,https://stacksocial.com/sales/pinstriped-premium-plan-lifetime-subscription-2/?aid=a-j0gmt06o
16146,Sitejet,AppSumo,yes,1,https://appsumo.com/products/sitejet/
16160,Frill,AppSumo,yes,1,https://appsumo.com/products/frill/
16179,"WooFunnels Anniversary LTD","Own site",,0,https://buildwoofunnels.com/third-anniversary-ltd/
16232,ScaffoldHub,Stacksocial,,0,https://stacksocial.com/sales/scaffoldhub-developer-plan-lifetime-subscription/?aid=a-j0gmt06o
16238,CTemplar,Stacksocial,,0,https://stacksocial.com/sales/ctemplar-prime-plan-lifetime-subscription/?aid=a-j0gmt06o
16299,WordProof,Dealify,,0,https://www.dealify.com/wordproof/?deal=stellar
16313,Rootpal,Stacksocial,,0,https://stacksocial.com/sales/rootpal-wordpress-hosting-lifetime-subscription/?aid=a-j0gmt06o
16402,Formspark,Dealify,,0,https://www.dealify.com/formspark/?deal=stellar
16407,MobAppCreator,Dealify,,0,https://www.dealify.com/mobappcreator/?deal=stellar
16415,Vizologi,Dealify,,0,https://www.dealify.com/vizologi/?deal=stellar
16417,Prizmo,Stacksocial,,0,https://stacksocial.com/sales/prizmo-4-pro-pack/?aid=a-j0gmt06o
16426,Paintstorm,Stacksocial,,0,https://stacksocial.com/sales/paintstorm-studio-lifetime-subscription-1-pc/?aid=a-j0gmt06o
16459,"FlexClip Video Maker",DealMirror,,0,https://dealmirror.com/product/flexclip-lifetime-deal/?ref=interstellar.consulting
16467,AutoWriter,DealMirror,,0,https://dealmirror.com/product/autowriter-lifetime-deal/?ref=interstellar.consulting
16477,"Local Lead Scaner",DigitalThink,,0,https://digitalthink.io/deal/local-lead-scanner/?ref=slogin
16485,Movavi,DealMirror,,0,https://dealmirror.com/product/movavi-video-suite-2021-lifetime-deal-for-window-mac%20/?ref=interstellar.consulting
16538,"Human Presence",Dealify,,0,https://www.dealify.com/humanpresence/?deal=stellar
16585,"KATA Trendy WordPress Theme",DealFuel,,0,https://www.dealfuel.com/seller/kata-trendy-wordpress-theme/?ap_id=interstellar
16594,Sendinblue,AppSumo,yes,1,https://appsumo.com/products/sendinblue-lifetime/
16826,Funnelll,AppSumo,yes,1,https://appsumo.com/products/funnelll/
16841,"WP Reset",AppSumo,,0,shop.appsfomo.com/p/WL68/r
