Title,id,Affiliate Store,rehub_offer_product_url,Status,Expired,re_post_expired
Tapdesk,17585,SaaS Mantra,https://saasmantra.com/deals/tapdesk,Expired,yes,1
Momento,18006,SaaS Mantra,https://saasmantra.com/deals/momento,Expired,yes,1
AI Image Enlarger,18018,SaaS Mantra,https://saasmantra.com/deals/imglarger,Expired,yes,1
CALIPIO,18044,SaaS Mantra,https://saasmantra.com/deals/calipio,Expired,yes,1
Superdense,18081,SaaS Mantra,https://saas-mantra.sjv.io/vnVZzL,Expired,yes,1
Satiurn,18089,SaaS Mantra,https://saasmantra.com/deals/satiurn,Expired,yes,1
CustomerVox,18195,SaaS Mantra,https://saas-mantra.sjv.io/DV3OM5,Expired,yes,1
Weje,18225,SaaS Mantra,https://saas-mantra.sjv.io/x9ZvWR,Expired,yes,1
Pirsonal,18250,SaaS Mantra,https://saas-mantra.sjv.io/mgGBGe,Expired,yes,1
3veta,18280,SaaS Mantra,https://saas-mantra.sjv.io/DV3r3j,Expired,yes,1
StatusPing,18368,SaaS Mantra,https://saas-mantra.sjv.io/6bEJDK,Expired,yes,1
Enform.io,18377,SaaS Mantra,https://saas-mantra.sjv.io/WDN10P,Expired,yes,1
Pixmiller,19288,SaaS Mantra,https://saasmantra.com/deals/pixmiller,Expired,yes,1
Quelines,19520,SaaS Mantra,https://saas-mantra.sjv.io/ZdqPWz,Live,,0
13Chats,19532,SaaS Mantra,https://saas-mantra.sjv.io/oeVjdW,Expired,yes,1
Jimo,19580,SaaS Mantra,https://saas-mantra.sjv.io/RyLn9g,Expired,yes,1
Full Session,19594,SaaS Mantra,https://saas-mantra.sjv.io/doDVdK,Expired,yes,1
OneSimpleAPI,19722,SaaS Mantra,https://saas-mantra.sjv.io/rn0kXy,Expired,yes,1
Robolly,20001,SaaS Mantra,https://saas-mantra.sjv.io/WDEEeJ,Expired,yes,1
Codelia,20011,SaaS Mantra,https://saas-mantra.sjv.io/3PzzKr,Expired,yes,1
OpenRead.io,20037,SaaS Mantra,https://saas-mantra.sjv.io/ZdE3a0,Expired,yes,1
NativeTasks,20975,SaaS Mantra,https://saas-mantra.sjv.io/EaXvMW,Live,,0
Boost.space,22161,SaaS Mantra,https://saas-mantra.sjv.io/rnmAj3,Expired,yes,1
Scenes,22481,SaaS Mantra,https://saas-mantra.sjv.io/3P4aaM,Live,,0
Labiknow,9677,Dealify,https://www.dealify.com/labiknow/?deal=stellar,Expired,yes,1
Listnr,9706,Dealify,https://www.dealify.com/listnr/?deal=stellar,Expired,yes,1
Noci,10471,Dealify,https://www.dealify.com/noci/?deal=stellar,Expired,yes,1
NeverSpam,10562,Dealify,https://www.dealify.com/neverspam/?deal=stellar,Expired,yes,1
Decktopus,11110,Dealify,https://www.dealify.com/decktopus/?deal=stellar,Live,,0
Mailifier,11306,Dealify,https://www.dealify.com/mailifier/?deal=stellar,Expired,yes,1
YouPost,11933,Dealify,https://www.dealify.com/youpost/?deal=stellar,Expired,yes,1
Zuitte,12142,Dealify,https://www.dealify.com/zuitte/?deal=stellar,Expired,yes,1
Scrapbook,12421,Dealify,https://www.dealify.com/scrapbook/?deal=stellar,Expired,yes,1
Taskomat,13070,Dealify,https://www.dealify.com/taskomat/?deal=stellar,Live,,0
Exod ai,14872,Dealify,https://www.dealify.com/exod/?deal=stellar,Expired,yes,1
Senseily,15749,Dealify,https://www.dealify.com/senseily/?deal=stellar,Expired,yes,1
LeadPay,15797,Dealify,https://www.dealify.com/leadpay/?deal=stellar,Expired,yes,1
Feature Monkey,15857,Dealify,https://www.dealify.com/featuremonkey/?deal=stellar,Expired,yes,1
Doopoll,15997,Dealify,https://www.dealify.com/doopoll/?deal=stellar,Live,,0
Screpy,16034,Dealify,https://www.dealify.com/screpy/?deal=stellar,Live,,0
WordProof,16299,Dealify,https://www.dealify.com/wordproof/?deal=stellar,Expired,yes,1
Formspark,16402,Dealify,https://www.dealify.com/formspark/?deal=stellar,Live,,0
MobAppCreator,16407,Dealify,https://www.dealify.com/mobappcreator/?deal=stellar,Live,,0
Vizologi,16415,Dealify,https://www.dealify.com/vizologi/?deal=stellar,Live,,0
Human Presence,16538,Dealify,https://www.dealify.com/humanpresence/?deal=stellar,Expired,yes,1
LongShot.Ai,16873,Dealify,https://www.dealify.com/longshot/?deal=stellar,Expired,yes,1
Adcrux,16883,Dealify,https://www.dealify.com/adcrux/?deal=stellar,Expired,yes,1
CrowdPower,17062,Dealify,https://www.dealify.com/crowdpower/?deal=stellar,Expired,yes,1
Promoly,17087,Dealify,https://www.dealify.com/promoly/?deal=stellar,Expired,yes,1
Trust,17134,Dealify,https://www.dealify.com/usetrust/?deal=stellar,Expired,yes,1
Silentinbox,17339,Dealify,https://www.dealify.com/silentinbox%20/?deal=stellar,Expired,yes,1
ProductLift,17442,Dealify,https://www.dealify.com/productlift/?deal=stellar,Expired,yes,1
