ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score
3453,"Tour Package",,product,external,0,54,,"Wordpress Themes>Business Themes",,
3455,Traveler,,product,external,0,79,,"Wordpress Themes>Business Themes",,
3457,Travelo,,product,external,0,35,,"Wordpress Themes>Entertainment",,
3459,"Trendy Travel",,product,external,0,59,,"Wordpress Themes>Business Themes",,12
3461,"Nation Hotel",,product,external,0,49,,"Wordpress Themes>Food, Lifestyle &amp; Health",,11
3465,Bellevue,,product,external,0,59,,"Wordpress Themes>Corporate",,11
3580,Avada,,product,external,0,60,,"Wordpress Themes>Creative",ThemeFusion,12
3583,"Yoast SEO",,product,external,0,89,,"Wordpress Plugins>SEO Plugin","Yoast BV",15
6206,Cloudflare,,product,external,0,20,,"SaaS>Hosting &amp; Cloud Services",,
6255,cPanel,,product,external,0,20,,"Web Panels",,77
6408,BunnyCDN,,product,external,0,10,,"SaaS>Hosting &amp; Cloud Services",,20
6419,SiteGround,,product,external,0,14.99,6.99,Hosting,,
6427,Bluehost,,product,external,0,2.97,,Hosting,,
6488,Plesk,,product,external,0,9.17,8.25,"Web Panels",,16
6537,Plutio,,product,external,0,15,,"SaaS>Project Management",,22
6622,CiuisCRM,,product,external,0,45,,"PHP Scripts",SuiseSoft,
6645,Mailchimp,,product,external,0,9.99,,"SaaS>Marketing and Sales",Mailchimp,
6938,SendGrid,,product,external,0,14.95,,"SaaS>Marketing and Sales",SendGrid,
8302,Hestia,,product,external,0,69,,"Wordpress Themes>Multipurpose",Themeisle,
8314,OceanWP,8314,product,external,0,39,,"Wordpress Themes>Multipurpose",OceanWp,
8336,ShopIsle,,product,external,0,52,,"Wordpress Themes>e-commerce",Themeisle,
8340,BetterDocs,,product,external,0,39,,"Wordpress Plugins>Documentation","WP developer",
8345,Generatepress,,product,external,0,59,44,"Wordpress Themes",Generatepress,
8371,Neve,,product,external,0,82,,"Wordpress Themes",Themeisle,
8379,"Zelle (Zerif)",,product,external,0,86,,"Wordpress Themes",Themeisle,
8393,Flexia,,product,external,0,49,,"Wordpress Themes",Codetic,
8405,Kadence,,product,external,0,69,56,"Wordpress Themes>Multipurpose",,
8509,Imagely,,product,external,0,29,,"Wordpress Themes>Creative",Imagely,
9234,Brizy,,product,external,0,49,,"Wordpress Themes>Page Builder",Brizy,
9530,SEOPress,,product,external,0,39,,"Wordpress Plugins>SEO Plugin","SEO Press",
9862,"Elementor Pro",,product,external,0,49,,"Wordpress Plugins>Page Builder","Elementor Ltd",
9880,LearnDash,,product,external,0,159,,"Wordpress Plugins>LMS",LearnDash,
9895,"Caldera Forms",,product,external,0,49,,"Wordpress Plugins>Forms &amp; Popups","Caldera Labs",
9904,StackSocial,,product,external,0,,,"Deals Platform",StackCommerce,
9911,AppSumo,,product,external,0,,,"Deals Platform",Appsumo,80
9936,Shortpixel,,product,external,0,4.99,,"Wordpress Plugins",ShortPixel,84
9944,"Saastronaut Life",,product,external,0,,,"FB Groups",,76
9948,"SaaS Master",,product,external,0,,,"FB Groups",SaasMaster,16
10007,"WP Fluent Forms",,product,external,0,59,,"Wordpress Plugins>Forms &amp; Popups",WpManageNinja,78
10059,Ora,,product,external,0,6.00,4.33,"SaaS>Project Management",,11
10060,Glorify,,product,external,0,12.99,,"SaaS>Design &amp; Collaboration",,80
10061,Trello,,product,external,0,9.99,,"SaaS>Project Management",,18
10062,Crello,,product,external,0,9.99,,"SaaS>Design &amp; Collaboration",,11
10082,"WP Security Ninja",,product,external,0,7.99,,"Wordpress Plugins>Security Plugin","WP Security Ninja",33
10114,"All-in-One WP Migration",,product,external,0,69,,"Wordpress Plugins>Security Plugin",ServMask,70
10216,SpinRewriter,,product,external,0,47,,"SaaS>Content creation","Infinect LLC",68
10260,TexAu,,product,external,0,12.99,,"SaaS>Business Tools",TexAu,79
10281,Amelia,,product,external,0,59,,"Wordpress Plugins>Calendar",TMS,16
10284,"Advanced Custom Fields",,product,external,0,49,,"Wordpress Plugins>Miscellaneous",ACF,28
